vendor,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_zone,dropoff_zone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
VeriFone Inc.,11/28/2021 01:02:49 PM,11/28/2021 01:24:31 PM,1.0,5.03,Standard rate,N,238,107,Credit card,19.0,0.0,0.5,2.0,0.0,0.3,24.3,2.5
VeriFone Inc.,11/02/2021 12:32:54 PM,11/02/2021 12:43:27 PM,1.0,1.78,Standard rate,N,163,186,Credit card,8.5,0.0,0.5,10.0,0.0,0.3,21.8,2.5
VeriFone Inc.,11/29/2021 04:02:43 PM,11/29/2021 04:15:45 PM,1.0,1.41,Standard rate,N,234,137,Credit card,9.5,1.0,0.5,3.45,0.0,0.3,17.25,2.5
VeriFone Inc.,11/25/2021 09:00:13 PM,11/25/2021 09:03:56 PM,1.0,1.51,Standard rate,N,140,75,Cash,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
"Creative Mobile Technologies, LLC",11/29/2021 05:44:50 PM,11/29/2021 05:56:43 PM,1.0,1.7,Standard rate,N,230,68,Credit card,9.5,3.5,0.5,2.75,0.0,0.3,16.55,2.5
VeriFone Inc.,11/03/2021 12:00:56 AM,11/03/2021 12:05:06 AM,3.0,0.9,Standard rate,N,48,246,Credit card,5.0,0.5,0.5,1.0,0.0,0.3,9.8,2.5
"Creative Mobile Technologies, LLC",11/18/2021 11:42:30 AM,11/18/2021 11:47:50 AM,1.0,0.5,Standard rate,N,141,161,Cash,5.5,2.5,0.5,0.0,0.0,0.3,8.8,2.5
VeriFone Inc.,11/13/2021 03:35:41 PM,11/13/2021 03:47:27 PM,2.0,1.34,Standard rate,N,163,233,Credit card,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
"Creative Mobile Technologies, LLC",11/06/2021 02:25:17 PM,11/06/2021 02:33:39 PM,2.0,1.4,Standard rate,N,140,43,Credit card,7.5,2.5,0.5,1.5,0.0,0.3,12.3,2.5
"Creative Mobile Technologies, LLC",11/24/2021 12:41:25 PM,11/24/2021 12:54:08 PM,1.0,1.8,Standard rate,N,170,107,Credit card,10.0,2.5,0.5,3.95,0.0,0.3,17.25,2.5
VeriFone Inc.,11/04/2021 01:25:33 PM,11/04/2021 01:51:30 PM,2.0,7.78,Standard rate,N,237,13,Credit card,25.0,0.0,0.5,5.66,0.0,0.3,33.96,2.5
VeriFone Inc.,11/18/2021 11:32:47 PM,11/18/2021 11:42:36 PM,1.0,1.14,Standard rate,N,161,170,Credit card,8.0,0.5,0.5,1.08,0.0,0.3,12.88,2.5
VeriFone Inc.,11/19/2021 02:08:37 PM,11/19/2021 02:15:55 PM,1.0,3.03,Standard rate,N,88,232,Cash,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
"Creative Mobile Technologies, LLC",11/29/2021 04:29:27 PM,11/29/2021 04:39:14 PM,1.0,1.0,Standard rate,N,140,237,Credit card,7.5,3.5,0.5,2.0,0.0,0.3,13.8,2.5
VeriFone Inc.,11/30/2021 09:57:10 AM,11/30/2021 10:17:24 AM,1.0,2.13,Standard rate,N,141,100,Credit card,13.5,0.0,0.5,2.52,0.0,0.3,19.32,2.5
